"","word","freq"
"money","money",1014
"mannequinchallenge","mannequinchallenge",973
"patoranking","patoranking",829
"mobsquad","mobsquad",817
"bannon","bannon",789
"htgawm","htgawm",779
"patorankingfire","patorankingfire",739
"phynofino","phynofino",737
"rams","rams",579
"video","video",555
"get","get",467
"steve","steve",463
"goff","goff",440
"jared","jared",425
"willreevejr","willreevejr",276
"people","people",264
"new","new",257
"show","show",243
"visuals","visuals",239
"audience","audience",237
"long","long",231
"anyone","anyone",228
"else","else",224
"shaolin","shaolin",224
"soccer","soccer",224
"last","last",216
"night","night",216
"trump","trump",215
"took","took",201
"amp","amp",200
"crazy","crazy",198
"ptxofficial","ptxofficial",198
"nfl","nfl",197
"footyjokes","footyjokes",195
"wes","wes",195
"ptxworldtournrt","ptxworldtournrt",181
"will","will",169
"just","just",167
"dolphins","dolphins",156
"ehnpatorankingndownload","ehnpatorankingndownload",152
"httpstcobbbibuczi","httpstcobbbibuczi",152
"magnitoas","magnitoas",152
"says","says",151
"skartv","skartv",151
"httpsnrt","httpsnrt",150
"white","white",150
"cant","cant",148
"enjoy","enjoy",142
"httpstcobpujbloznrt","httpstcobpujbloznrt",139
"now","now",138
"two","two",133
"released","released",129
"camp","camp",128
"rookie","rookie",123
"heres","heres",122
"beautiful","beautiful",118
"lovely","lovely",118
"know","know",117
"visual","visual",117
"week","week",115
"start","start",112
"time","time",112
"finsup","finsup",109
"ramsnfl","ramsnfl",109
"via","via",104
"httpstcowefxhqvsr","httpstcowefxhqvsr",103
"starting","starting",102
"quarterback","quarterback",101
"like","like",98
"tired","tired",98
"head","head",88
"another","another",87
"seen","seen",87
"coach","coach",85
"got","got",84
"watch","watch",83
"ajanaomiking","ajanaomiking",81
"miavsla","miavsla",81
"call","call",80
"best","best",79
"mobsquadnrt","mobsquadnrt",79
"restingplatypus","restingplatypus",78
"chief","chief",75
"httpstconrt","httpstconrt",75
"line","line",73
"look","look",72
"music","music",72
"vegas","vegas",71
"howtogetawayabc","howtogetawayabc",69
"sure","sure",69
"theramswire","theramswire",69
"trumps","trumps",69
"love","love",68
"https","https",67
"eduaubdedubu","eduaubdedubu",66
"family","family",66
"fisher","fisher",66
"addicted","addicted",65
"appointment","appointment",65
"jeff","jeff",65
"sunday","sunday",65
"youll","youll",64
"fans","fans",63
"first","first",63
"racist","racist",63
"jewish","jewish",62
"working","working",62
"continues","continues",61
"expect","expect",61
"maga","maga",61
"need","need",61
"israeli","israeli",60
"eduaubdedubufeduaubcedubfubc","eduaubdedubufeduaubcedubfubc",59
"think","think",59
"pick","pick",58
"sheet","sheet",58
"everyone","everyone",57
"jhekker","jhekker",57
"stephen","stephen",57
"can","can",56
"costumes","costumes",56
"dont","dont",56
"excited","excited",56
"las","las",56
"location","location",56
"scripts","scripts",56
"season","season",56
"shift","shift",56
"updated","updated",56
"win","win",56
"antisemitic","antisemitic",55
"house","house",55
"magnito","magnito",55
"ambassador","ambassador",54
"media","media",54
"news","news",54
"jaredgoff","jaredgoff",53
"milo","milo",53
"everything","everything",52
"practice","practice",52
"tough","tough",52
"lavsnyj","lavsnyj",51
"said","said",51
"american","american",50
"critics","critics",50
"dilfer","dilfer",50
"going","going",50
"please","please",50
"cnn","cnn",49
"doesnt","doesnt",49
"face","face",49
"httpstcodauuudlnq","httpstcodauuudlnq",49
"move","move",49
"much","much",49
"strategist","strategist",49
"tonight","tonight",49
"eduaubdedubub","eduaubdedubub",48
"ellison","ellison",48
"one","one",48
"sharpton","sharpton",48
"away","away",47
"britneyspears","britneyspears",47
"waiting","waiting",47
"bannons","bannons",46
"donald","donald",46
"eduaubcedubeua","eduaubcedubeua",46
"goffs","goffs",46
"good","good",46
"make","make",46
"say","say",46
"trent","trent",46
"won","won",46
"forward","forward",45
"overall","overall",45
"back","back",44
"handle","handle",44
"larams","larams",44
"nhtgawm","nhtgawm",44
"oaks","oaks",44
"right","right",44
"star","star",44
"students","students",44
"take","take",44
"understand","understand",44
"want","want",44
"yet","yet",44
"didnt","didnt",43
"episode","episode",43
"including","including",43
"keith","keith",43
"ruin","ruin",43
"staff","staff",43
"attends","attends",42
"ehn","ehn",42
"thousand","thousand",42
"wyche","wyche",42
"chatsports","chatsports",41
"coaching","coaching",41
"httpstcobpujbkrdawnrt","httpstcobpujbkrdawnrt",41
"reports","reports",41
"shonda","shonda",41
"cathynewman","cathynewman",40
"massive","massive",40
"pop","pop",40
"song","song",40
"thinker","thinker",40
"trumpscomingchallenge","trumpscomingchallenge",40
"yards","yards",40
"adam","adam",39
"gase","gase",39
"hit","hit",39
"pentatonix","pentatonix",39
"sending","sending",39
"stage","stage",39
"thefactsofshade","thefactsofshade",39
"breitbart","breitbart",38
"fleeing","fleeing",38
"httpstcoyjrmnibyos","httpstcoyjrmnibyos",38
"icymi","icymi",38
"lizaweil","lizaweil",38
"nochillposts","nochillposts",38
"punt","punt",38
"thanks","thanks",38
"year","year",38
"enigma","enigma",37
"god","god",37
"let","let",37
